Prefecture,Area,市区町村,,,Len,区,duplicated,Reference
長野県,長野市,長野市,,1,3,,,
,松本市,松本市,,1,3,,,
,その他長野県,上田市,,1,3,,,
,,岡谷市,,1,3,,,
,,飯田市,,1,3,,,
,,諏訪市,,1,3,,,
,,須坂市,,1,3,,,
,,小諸市,,1,3,,,
,,伊那市,,1,3,,,
,,駒ヶ根市,,1,4,,,
,,中野市,,1,3,,,
,,大町市,1,1,3,,,
,,飯山市,,1,3,,,
,,茅野市,,1,3,,,
,,塩尻市,,1,3,,,
,,佐久市,,1,3,,,
,,千曲市,,1,3,,,
,,東御市,,1,3,,,
,,安曇野市,,1,4,,,
,,小海町,,1,3,,,
,,川上村,,2,3,,,
,,南牧村,,2,3,,,
,,南相木村,,1,4,,,
,,北相木村,,1,4,,,
,,佐久穂町,,1,4,,,
,,軽井沢町,,1,4,,,
,,御代田町,,1,4,,,
,,立科町,,1,3,,,
,,青木村,,1,3,,,
,,長和町,,1,3,,,
,,下諏訪町,,1,4,,,
,,富士見町,,1,4,,,
,,原村,,1,2,,,
,,辰野町,,1,3,,,
,,箕輪町,,1,3,,,
,,飯島町,,1,3,,,
,,南箕輪村,,1,4,,,
,,中川村,,1,3,,,
,,宮田村,,1,3,,,
,,松川町,,1,3,,,
,,高森町,,2,3,,,
,,阿南町,,1,3,,,
,,阿智村,,1,3,,,
,,平谷村,,1,3,,,
,,根羽村,,1,3,,,
,,下條村,,1,3,,,
,,売木村,,1,3,,,
,,天龍村,,1,3,,,
,,泰阜村,,1,3,,,
,,喬木村,,1,3,,,
,,豊丘村,,1,3,,,
,,大鹿村,,1,3,,,
,,上松町,,1,3,,,
,,南木曽町,,1,4,,,
,,木祖村,,1,3,,,
,,王滝村,,1,3,,,
,,大桑村,,1,3,,,
,,木曽町,,1,3,,,
,,麻績村,,1,3,,,
,,生坂村,,1,3,,,
,,山形村,,1,3,,,
,,朝日村,,1,3,,,
,,筑北村,,1,3,,,
,,池田町,,4,3,,,
,,松川村,,1,3,,,
,,白馬村,,1,3,,,
,,小谷村,,1,3,,,
,,坂城町,,1,3,,,
,,小布施町,,1,4,,,
,,高山村,,2,3,,,
,,山ノ内町,,1,4,,,
,,木島平村,,1,4,,,
,,野沢温泉村,,1,5,,,
,,信濃町,,1,3,,,
,,小川村,,1,3,,,
,,飯綱町,,1,3,,,
,,栄村,,1,2,,,
岐阜県,岐阜市,岐阜市,,1,3,,,
,その他岐阜県,大垣市,,1,3,,,
,,高山市,,1,3,,,
,,多治見市,,1,4,,,
,,関市,,1,2,,,
,,中津川市,,1,4,,,
,,美濃市,,1,3,,,
,,瑞浪市,,1,3,,,
,,羽島市,,1,3,,,
,,恵那市,,1,3,,,
,,美濃加茂市,,1,5,,,
,,土岐市,,1,3,,,
,,各務原市,,1,4,,,
,,可児市,,1,3,,,
,,山県市,,1,3,,,
,,瑞穂市,,1,3,,,
,,飛騨市,,1,3,,,
,,本巣市,,1,3,,,
,,郡上市,,1,3,,,
,,下呂市,,1,3,,,
,,海津市,,1,3,,,
,,岐南町,,1,3,,,
,,笠松町,,1,3,,,
,,養老町,,1,3,,,
,,垂井町,,1,3,,,
,,関ケ原町,,1,4,,,
,,神戸町,,1,3,,,
,,輪之内町,,1,4,,,
,,安八町,,1,3,,,
,,揖斐川町,,1,4,,,
,,大野町,,1,3,,,
,,池田町,,4,3,,,
,,北方町,,1,3,,,
,,坂祝町,,1,3,,,
,,富加町,,1,3,,,
,,川辺町,,1,3,,,
,,七宗町,,1,3,,,
,,八百津町,,1,4,,,
,,白川町,,1,3,,,
,,東白川村,,1,4,,,
,,御嵩町,,1,3,,,
,,白川村,,1,3,,,
静岡県,静岡市,静岡市,,1,3,葵区,,
,,,,0,0,駿河区,,
,,,,0,0,清水区,,
,浜松市,浜松市,,1,3,中区,,
,,,,0,0,東区,,
,,,,0,0,西区,,
,,,,0,0,南区,,
,,,,0,0,北区,,
,,,,0,0,浜北区,,
,,,,0,0,天竜区,,
,その他静岡県,沼津市,,1,3,,,
,,熱海市,,1,3,,,
,,三島市,,1,3,,,
,,富士宮市,,1,4,,,
,,伊東市,,1,3,,,
,,島田市,,1,3,,,
,,富士市,,1,3,,,
,,磐田市,,1,3,,,
,,焼津市,,1,3,,,
,,掛川市,,1,3,,,
,,藤枝市,,1,3,,,
,,御殿場市,,1,4,,,
,,袋井市,,1,3,,,
,,下田市,,1,3,,,
,,裾野市,,1,3,,,
,,湖西市,,1,3,,,
,,伊豆市,,1,3,,,
,,御前崎市,,1,4,,,
,,菊川市,,1,3,,,
,,伊豆の国市,,1,5,,,
,,牧之原市,,1,4,,,
,,東伊豆町,,1,4,,,
,,河津町,,1,3,,,
,,南伊豆町,,1,4,,,
,,松崎町,,1,3,,,
,,西伊豆町,,1,4,,,
,,函南町,,1,3,,,
,,清水町,,2,3,,,
,,長泉町,,1,3,,,
,,小山町,,1,3,,,
,,吉田町,,1,3,,,
,,川根本町,,1,4,,,
,,森町,,2,2,,,
愛知県,名古屋市,名古屋市,,1,4,千種区,,http://www.pref.aichi.jp/0000000209.html
,,,,0,0,東区,,
,,,,0,0,北区,,
,,,,0,0,西区,,
,,,,0,0,中村区,,
,,,,0,0,中区,,
,,,,0,0,昭和区,,
,,,,0,0,瑞穂区,,
,,,,0,0,熱田区,,
,,,,0,0,中川区,,
,,,,0,0,港区,,
,,,,0,0,南区,,
,,,,0,0,守山区,,
,,,,0,0,緑区,,
,,,,0,0,名東区,,
,,,,0,0,天白区,,
,岡崎市,岡崎市,,1,3,,,
,豊田市,豊田市,,1,3,,,
,その他愛知県,碧南市,,1,3,,,
,,刈谷市,,1,3,,,
,,安城市,,1,3,,,
,,西尾市,,1,3,,,
,,知立市,,1,3,,,
,,高浜市,,1,3,,,
,,みよし市,,1,4,,,
,,幸田町,,1,3,,,
,,豊橋市,,1,3,,,
,,豊川市,,1,3,,,
,,蒲郡市,,1,3,,,
,,新城市,,1,3,,,
,,田原市,,1,3,,,
,,設楽町,,1,3,,,
,,東栄町,,1,3,,,
,,豊根村,,1,3,,,
,,一宮市,,1,3,,,
,,瀬戸市,,1,3,,,
,,半田市,,1,3,,,
,,春日井市,,1,4,,,
,,津島市,,1,3,,,
,,犬山市,,1,3,,,
,,常滑市,,1,3,,,
,,江南市,,1,3,,,
,,小牧市,,1,3,,,
,,稲沢市,,1,3,,,
,,東海市,,1,3,,,
,,大府市,,1,3,,,
,,知多市,,1,3,,,
,,尾張旭市,,1,4,,,
,,岩倉市,,1,3,,,
,,豊明市,,1,3,,,
,,日進市,,1,3,,,
,,愛西市,,1,3,,,
,,清須市,,1,3,,,
,,北名古屋市,,1,5,,,
,,弥富市,,1,3,,,
,,あま市,,1,3,,,
,,長久手市,,1,4,,,
,,東郷町,,1,3,,,
,,豊山町,,1,3,,,
,,大口町,,1,3,,,
,,扶桑町,,1,3,,,
,,大治町,,1,3,,,
,,蟹江町,,1,3,,,
,,飛島村,,1,3,,,
,,阿久比町,,1,4,,,
,,東浦町,,1,3,,,
,,南知多町,,1,4,,,
,,美浜町,,3,3,,,
,,武豊町,,1,3,,,
三重県,津市,津市,,1,2,,,
,四日市市,四日市市,1,1,4,,,
,その他三重県,伊勢市,,1,3,,,
,,松阪市,,1,3,,,
,,桑名市,,1,3,,,
,,鈴鹿市,,1,3,,,
,,名張市,,1,3,,,
,,尾鷲市,,1,3,,,
,,亀山市,,1,3,,,
,,鳥羽市,,1,3,,,
,,熊野市,,1,3,,,
,,いなべ市,,1,4,,,
,,志摩市,,1,3,,,
,,伊賀市,,1,3,,,
,,木曽岬町,,1,4,,,
,,東員町,,1,3,,,
,,菰野町,,1,3,,,
,,朝日町,,3,3,,,
,,川越町,,1,3,,,
,,多気町,,1,3,,,
,,明和町,,2,3,,,
,,大台町,,1,3,,,
,,玉城町,,1,3,,,
,,度会町,,1,3,,,
,,大紀町,,1,3,,,
,,南伊勢町,,1,4,,,
,,紀北町,,1,3,,,
,,御浜町,,1,3,,,
,,紀宝町,,1,3,,,
滋賀県,大津市,大津市,,1,3,,,
,草津市,草津市,,1,3,,,
,その他滋賀県,彦根市,,1,3,,,
,,長浜市,,1,3,,,
,,近江八幡市,,1,5,,,
,,守山市,,1,3,,,
,,栗東市,,1,3,,,
,,甲賀市,,1,3,,,
,,野洲市,,1,3,,,
,,湖南市,,1,3,,,
,,高島市,,1,3,,,
,,東近江市,,1,4,,,
,,米原市,,1,3,,,
,,日野町,,2,3,,,
,,竜王町,,1,3,,,
,,愛荘町,,1,3,,,
,,豊郷町,,1,3,,,
,,甲良町,,1,3,,,
,,多賀町,,1,3,,,
京都府,京都市,京都市,,1,3,北区,,
,,,,0,0,上京区,,
,,,,0,0,左京区,,
,,,,0,0,中京区,,
,,,,0,0,東山区,,
,,,,0,0,下京区,,
,,,,0,0,南区,,
,,,,0,0,右京区,,
,,,,0,0,伏見区,,
,,,,0,0,山科区,,
,,,,0,0,西京区,,
,その他京都府,福知山市,,1,4,,,
,,舞鶴市,,1,3,,,
,,綾部市,,1,3,,,
,,宇治市,,1,3,,,
,,宮津市,,1,3,,,
,,亀岡市,,1,3,,,
,,城陽市,,1,3,,,
,,向日市,,1,3,,,
,,長岡京市,,1,4,,,
,,八幡市,,1,3,,,
,,京田辺市,,1,4,,,
,,京丹後市,,1,4,,,
,,南丹市,,1,3,,,
,,木津川市,,1,4,,,
,,大山崎町,,1,4,,,
,,久御山町,,1,4,,,
,,井手町,,1,3,,,
,,宇治田原町,,1,5,,,
,,笠置町,,1,3,,,
,,和束町,,1,3,,,
,,精華町,,1,3,,,
,,南山城村,,1,4,,,
,,京丹波町,,1,4,,,
,,伊根町,,1,3,,,
,,与謝野町,,1,4,,,
大阪府,大阪市,大阪市,,1,3,都島区,,http://www.pref.osaka.lg.jp/koho/links/city.html
,,,,0,0,福島区,,
,,,,0,0,此花区,,
,,,,0,0,西区,,
,,,,0,0,港区,,
,,,,0,0,大正区,,
,,,,0,0,天王寺区,,
,,,,0,0,浪速区,,
,,,,0,0,西淀川区,,
,,,,0,0,東淀川区,,
,,,,0,0,東成区,,
,,,,0,0,生野区,,
,,,,0,0,旭区,,
,,,,0,0,城東区,,
,,,,0,0,阿倍野区,,
,,,,0,0,住吉区,,
,,,,0,0,東住吉区,,
,,,,0,0,西成区,,
,,,,0,0,淀川区,,
,,,,0,0,鶴見区,,
,,,,0,0,住之江区,,
,,,,0,0,平野区,,
,,,,0,0,北区,,
,,,,0,0,中央区,,
,堺市,堺市,,1,2,堺区,,
,,,,0,0,中区,,
,,,,0,0,東区,,
,,,,0,0,西区,,
,,,,0,0,南区,,
,,,,0,0,北区,,
,,,,0,0,美原区,,
,東大阪市,東大阪市,,1,4,,,
,その他大阪府,能勢町,,1,3,,,
,,豊能町,,1,3,,,
,,池田市,,1,3,,,
,,箕面市,,1,3,,,
,,豊中市,,1,3,,,
,,茨木市,,1,3,,,
,,高槻市,,1,3,,,
,,島本町,,1,3,,,
,,吹田市,,1,3,,,
,,摂津市,,1,3,,,
,,枚方市,,1,3,,,
,,交野市,,1,3,,,
,,寝屋川市,,1,4,,,
,,守口市,,1,3,,,
,,門真市,,1,3,,,
,,四條畷市,,1,4,,,
,,大東市,,1,3,,,
,,八尾市,,1,3,,,
,,柏原市,,1,3,,,
,,和泉市,,1,3,,,
,,高石市,,1,3,,,
,,泉大津市,,1,4,,,
,,忠岡町,,1,3,,,
,,岸和田市,,1,4,,,
,,貝塚市,,1,3,,,
,,熊取町,,1,3,,,
,,泉佐野市,,1,4,,,
,,田尻町,,1,3,,,
,,泉南市,,1,3,,,
,,阪南市,,1,3,,,
,,岬町,,1,2,,,
,,松原市,,1,3,,,
,,羽曳野市,,1,4,,,
,,藤井寺市,,1,4,,,
,,太子町,,2,3,,,
,,河南町,,1,3,,,
,,千早赤阪村,,1,5,,,
,,富田林市,,1,4,,,
,,大阪狭山市,,1,5,,,
,,河内長野市,,1,5,,,
兵庫県,神戸市,神戸市,,1,3,東灘区,,
,,,,0,0,灘区,,
,,,,0,0,兵庫区,,
,,,,0,0,長田区,,
,,,,0,0,須磨区,,
,,,,0,0,垂水区,,
,,,,0,0,北区,,
,,,,0,0,中央区,,
,,,,0,0,西区,,
,尼崎市,尼崎市,,1,3,,,
,西宮市,姫路市,,1,3,,,
,姫路市,西宮市,,1,3,,,
,その他兵庫県,明石市,,1,3,,,
,,洲本市,,1,3,,,
,,芦屋市,,1,3,,,
,,伊丹市,,1,3,,,
,,相生市,,1,3,,,
,,豊岡市,,1,3,,,
,,加古川市,,1,4,,,
,,赤穂市,,1,3,,,
,,西脇市,,1,3,,,
,,宝塚市,,1,3,,,
,,三木市,,1,3,,,
,,高砂市,,1,3,,,
,,川西市,,1,3,,,
,,小野市,,1,3,,,
,,三田市,,1,3,,,
,,加西市,,1,3,,,
,,篠山市,,1,3,,,
,,養父市,,1,3,,,
,,丹波市,,1,3,,,
,,南あわじ市,,1,5,,,
,,朝来市,,1,3,,,
,,淡路市,,1,3,,,
,,宍粟市,,1,3,,,
,,加東市,,1,3,,,
,,たつの市,,1,4,,,
,,猪名川町,,1,4,,,
,,多可町,,1,3,,,
,,稲美町,,1,3,,,
,,播磨町,,1,3,,,
,,市川町,1,1,3,,,
,,福崎町,,1,3,,,
,,神河町,,1,3,,,
,,太子町,,2,3,,,
,,上郡町,,1,3,,,
,,佐用町,,1,3,,,
,,香美町,,1,3,,,
,,新温泉町,,1,4,,,
奈良県,奈良市,奈良市,,1,3,,,
,その他奈良県,大和高田市,,1,5,,,
,,大和郡山市,,1,5,,,
,,天理市,,1,3,,,
,,橿原市,,1,3,,,
,,桜井市,,1,3,,,
,,五條市,,1,3,,,
,,御所市,,1,3,,,
,,生駒市,,1,3,,,
,,香芝市,,1,3,,,
,,葛城市,,1,3,,,
,,宇陀市,,1,3,,,
,,山添村,,1,3,,,
,,平群町,,1,3,,,
,,三郷町,,1,3,,,
,,斑鳩町,,1,3,,,
,,安堵町,,1,3,,,
,,川西町,,2,3,,,
,,三宅町,,1,3,,,
,,田原本町,,1,4,,,
,,曽爾村,,1,3,,,
,,御杖村,,1,3,,,
,,高取町,,1,3,,,
,,明日香村,,1,4,,,
,,上牧町,,1,3,,,
,,王寺町,,1,3,,,
,,広陵町,,1,3,,,
,,河合町,,1,3,,,
,,吉野町,,1,3,,,
,,大淀町,,1,3,,,
,,下市町,1,1,3,,,
,,黒滝村,,1,3,,,
,,天川村,,1,3,,,
,,野迫川村,,1,4,,,
,,十津川村,,1,4,,,
,,下北山村,,1,4,,,
,,上北山村,,1,4,,,
,,川上村,,2,3,,,
,,東吉野村,,1,4,,,
和歌山県,和歌山市,和歌山市,,1,4,,,
,その他和歌山県,海南市,,1,3,,,
,,橋本市,,1,3,,,
,,有田市,,1,3,,,
,,御坊市,,1,3,,,
,,田辺市,,1,3,,,
,,新宮市,,1,3,,,
,,紀の川市,,1,4,,,
,,岩出市,,1,3,,,
,,紀美野町,,1,4,,,
,,かつらぎ町,,1,5,,,
,,九度山町,,1,4,,,
,,高野町,,1,3,,,
,,湯浅町,,1,3,,,
,,広川町,,2,3,,,
,,有田川町,,1,4,,,
,,美浜町,,3,3,,,
,,日高町,,2,3,,,
,,由良町,,1,3,,,
,,印南町,,1,3,,,
,,みなべ町,,1,4,,,
,,日高川町,,1,4,,,
,,白浜町,,1,3,,,
,,上富田町,,1,4,,,
,,すさみ町,,1,4,,,
,,那智勝浦町,,1,5,,,
,,太地町,,1,3,,,
,,古座川町,,1,4,,,
,,北山村,,1,3,,,
,,串本町,,1,3,,,
鳥取県,鳥取市,鳥取市,,1,3,,,
,その他鳥取県,米子市,,1,3,,,
,,倉吉市,,1,3,,,
,,境港市,,1,3,,,
,,岩美町,,1,3,,,
,,若桜町,,1,3,,,
,,智頭町,,1,3,,,
,,八頭町,,1,3,,,
,,三朝町,,1,3,,,
,,湯梨浜町,,1,4,,,
,,琴浦町,,1,3,,,
,,北栄町,,1,3,,,
,,日吉津村,,1,4,,,
,,大山町,,1,3,,,
,,南部町,,3,3,,,
,,伯耆町,,1,3,,,
,,日南町,,1,3,,,
,,日野町,,2,3,,,
,,江府町,,1,3,,,
島根県,松江市,松江市,,1,3,,,
島根県,その他島根県,浜田市,,1,3,,,
島根県,,出雲市,,1,3,,,
島根県,,益田市,,1,3,,,
島根県,,大田市,,1,3,,,
島根県,,安来市,,1,3,,,
島根県,,江津市,,1,3,,,
島根県,,雲南市,,1,3,,,
島根県,,奥出雲町,,1,4,,,
島根県,,飯南町,,1,3,,,
島根県,,川本町,,1,3,,,
島根県,,美郷町,,3,3,,,
島根県,,邑南町,,1,3,,,
島根県,,津和野町,,1,4,,,
島根県,,吉賀町,,1,3,,,
島根県,,海士町,,1,3,,,
島根県,,西ノ島町,,1,4,,,
島根県,,知夫村,,1,3,,,
島根県,,隠岐の島町,,1,5,,,
岡山県,岡山市,岡山市,,1,3,北区,,
,,,,0,0,中区,,
,,,,0,0,東区,,
,,,,0,0,南区,,
,倉敷市,倉敷市,,1,3,,,
,その他岡山県,津山市,,1,3,,,
,,玉野市,,1,3,,,
,,笠岡市,,1,3,,,
,,井原市,,1,3,,,
,,総社市,,1,3,,,
,,高梁市,,1,3,,,
,,新見市,,1,3,,,
,,備前市,,1,3,,,
,,瀬戸内市,,1,4,,,
,,赤磐市,,1,3,,,
,,真庭市,,1,3,,,
,,美作市,,1,3,,,
,,浅口市,,1,3,,,
,,和気町,,1,3,,,
,,早島町,,1,3,,,
,,里庄町,,1,3,,,
,,矢掛町,,1,3,,,
,,新庄村,,1,3,,,
,,鏡野町,,1,3,,,
,,勝央町,,1,3,,,
,,奈義町,,1,3,,,
,,西粟倉村,,1,4,,,
,,久米南町,,1,4,,,
,,美咲町,,1,3,,,
,,吉備中央町,,1,5,,,
広島県,広島市,広島市,,1,3,中区,,
,,,,0,0,東区,,
,,,,0,0,南区,,
,,,,0,0,西区,,
,,,,0,0,安佐南区,,
,,,,0,0,安佐北区,,
,,,,0,0,安芸区,,
,,,,0,0,佐伯区,,
,その他広島県,呉市,,1,2,,,
,,竹原市,,1,3,,,
,,三原市,,1,3,,,
,,尾道市,,1,3,,,
,,福山市,,1,3,,,
,,府中市,,2,3,,,
,,三次市,,1,3,,,
,,庄原市,,1,3,,,
,,大竹市,,1,3,,,
,,東広島市,,1,4,,,
,,廿日市市,1,1,4,,,
,,安芸高田市,,1,5,,,
,,江田島市,,1,4,,,
,,府中町,,1,3,,,
,,海田町,,1,3,,,
,,熊野町,,1,3,,,
,,坂町,,1,2,,,
,,安芸太田町,,1,5,,,
,,北広島町,,1,4,,,
,,大崎上島町,,1,5,,,
,,世羅町,,1,3,,,
,,神石高原町,,1,5,,,
山口県,山口市,山口市,,1,3,,,
,下関市,下関市,,1,3,,,
,その他山口県,宇部市,,1,3,,,
,,萩市,,1,2,,,
,,防府市,,1,3,,,
,,下松市,,1,3,,,
,,岩国市,,1,3,,,
,,光市,,1,2,,,
,,長門市,,1,3,,,
,,柳井市,,1,3,,,
,,美祢市,,1,3,,,
,,周南市,,1,3,,,
,,山陽小野田市,,1,6,,,
,,周防大島町,,1,5,,,
,,和木町,,1,3,,,
,,上関町,,1,3,,,
,,田布施町,,1,4,,,
,,平生町,,1,3,,,
,,阿武町,,1,3,,,
徳島県,徳島市,徳島市,,1,3,,,
,その他徳島県,鳴門市,,1,3,,,
,,小松島市,,1,4,,,
,,阿南市,,1,3,,,
,,吉野川市,,1,4,,,
,,阿波市,,1,3,,,
,,美馬市,,1,3,,,
,,三好市,,1,3,,,
,,勝浦町,,1,3,,,
,,上勝町,,1,3,,,
,,佐那河内村,,1,5,,,
,,石井町,,1,3,,,
,,神山町,,1,3,,,
,,那賀町,,1,3,,,
,,牟岐町,,1,3,,,
,,美波町,,1,3,,,
,,海陽町,,1,3,,,
,,松茂町,,1,3,,,
,,北島町,,1,3,,,
,,藍住町,,1,3,,,
,,板野町,,1,3,,,
,,上板町,,1,3,,,
,,つるぎ町,,1,4,,,
,,東みよし町,,1,5,,,
香川県,高松市,高松市,,1,3,,,
,その他香川県,丸亀市,,1,3,,,
,,坂出市,,1,3,,,
,,善通寺市,,1,4,,,
,,観音寺市,,1,4,,,
,,さぬき市,,1,4,,,
,,東かがわ市,,1,5,,,
,,三豊市,,1,3,,,
,,土庄町,,1,3,,,
,,小豆島町,,1,4,,,
,,三木町,,1,3,,,
,,直島町,,1,3,,,
,,宇多津町,,1,4,,,
,,綾川町,,1,3,,,
,,琴平町,,1,3,,,
,,多度津町,,1,4,,,
,,まんのう町,,1,5,,,
愛媛県,松山市,松山市,,1,3,,,
,その他愛媛県,今治市,,1,3,,,
,,宇和島市,,1,4,,,
,,八幡浜市,,1,4,,,
,,新居浜市,,1,4,,,
,,西条市,,1,3,,,
,,大洲市,,1,3,,,
,,伊予市,,1,3,,,
,,四国中央市,,1,5,,,
,,西予市,,1,3,,,
,,東温市,,1,3,,,
,,上島町,,1,3,,,
,,久万高原町,,1,5,,,
,,松前町,,2,3,,,
,,砥部町,,1,3,,,
,,内子町,,1,3,,,
,,伊方町,,1,3,,,
,,松野町,,1,3,,,
,,鬼北町,,1,3,,,
,,愛南町,,1,3,,,
高知県,高知市,高知市,,1,3,,,
,その他高知県,室戸市,,1,3,,,
,,安芸市,,1,3,,,
,,南国市,,1,3,,,
,,土佐市,,1,3,,,
,,須崎市,,1,3,,,
,,宿毛市,,1,3,,,
,,土佐清水市,,1,5,,,
,,四万十市,,1,4,,,
,,香南市,,1,3,,,
,,香美市,,1,3,,,
,,東洋町,,1,3,,,
,,奈半利町,,1,4,,,
,,田野町,,1,3,,,
,,安田町,,1,3,,,
,,北川村,,1,3,,,
,,馬路村,,1,3,,,
,,芸西村,,1,3,,,
,,本山町,,1,3,,,
,,大豊町,,1,3,,,
,,土佐町,,1,3,,,
,,大川村,,1,3,,,
,,いの町,,1,3,,,
,,仁淀川町,,1,4,,,
,,中土佐町,,1,4,,,
,,佐川町,,1,3,,,
,,越知町,,1,3,,,
,,梼原町,,1,3,,,
,,日高村,,1,3,,,
,,津野町,,1,3,,,
,,四万十町,,1,4,,,
,,大月町,,1,3,,,
,,三原村,,1,3,,,
,,黒潮町,,1,3,,,
福岡県,北九州市,北九州市,,1,4,門司区,,
,,,,0,0,若松区,,
,,,,0,0,戸畑区,,
,,,,0,0,小倉北区,,
,,,,0,0,小倉南区,,
,,,,0,0,八幡東区,,
,,,,0,0,八幡西区,,
,福岡市,福岡市,,1,3,東区,,
,,,,0,0,博多区,,
,,,,0,0,中央区,,
,,,,0,0,南区,,
,,,,0,0,西区,,
,,,,0,0,城南区,,
,,,,0,0,早良区,,
,その他福岡県,大牟田市,,1,4,,,
,,久留米市,,1,4,,,
,,直方市,,1,3,,,
,,飯塚市,,1,3,,,
,,田川市,,1,3,,,
,,柳川市,,1,3,,,
,,八女市,,1,3,,,
,,筑後市,,1,3,,,
,,大川市,,1,3,,,
,,行橋市,,1,3,,,
,,豊前市,,1,3,,,
,,中間市,,1,3,,,
,,小郡市,,1,3,,,
,,筑紫野市,,1,4,,,
,,春日市,,1,3,,,
,,大野城市,,1,4,,,
,,宗像市,,1,3,,,
,,太宰府市,,1,4,,,
,,古賀市,,1,3,,,
,,福津市,,1,3,,,
,,うきは市,,1,4,,,
,,宮若市,,1,3,,,
,,嘉麻市,,1,3,,,
,,朝倉市,,1,3,,,
,,みやま市,,1,4,,,
,,糸島市,,1,3,,,
,,那珂川町,,2,4,,,
,,宇美町,,1,3,,,
,,篠栗町,,1,3,,,
,,志免町,,1,3,,,
,,須恵町,,1,3,,,
,,新宮町,,1,3,,,
,,久山町,,1,3,,,
,,粕屋町,,1,3,,,
,,芦屋町,,1,3,,,
,,水巻町,,1,3,,,
,,岡垣町,,1,3,,,
,,遠賀町,,1,3,,,
,,小竹町,,1,3,,,
,,鞍手町,,1,3,,,
,,桂川町,,1,3,,,
,,筑前町,,1,3,,,
,,東峰村,,1,3,,,
,,大刀洗町,,1,4,,,
,,大木町,,1,3,,,
,,広川町,,2,3,,,
,,香春町,,1,3,,,
,,添田町,,1,3,,,
,,糸田町,,1,3,,,
,,川崎町,,2,3,,,
,,大任町,,1,3,,,
,,赤村,,1,2,,,
,,福智町,,1,3,,,
,,苅田町,,1,3,,,
,,みやこ町,,1,4,,,
,,吉富町,,1,3,,,
,,上毛町,,1,3,,,
,,築上町,,1,3,,,
佐賀県,佐賀市,佐賀市,,1,3,,,
,その他佐賀県,唐津市,,1,3,,,
,,鳥栖市,,1,3,,,
,,多久市,,1,3,,,
,,伊万里市,,1,4,,,
,,武雄市,,1,3,,,
,,鹿島市,,1,3,,,
,,小城市,,1,3,,,
,,嬉野市,,1,3,,,
,,神埼市,,1,3,,,
,,吉野ヶ里町,,1,5,,,
,,基山町,,1,3,,,
,,上峰町,,1,3,,,
,,みやき町,,1,4,,,
,,玄海町,,1,3,,,
,,有田町,,1,3,,,
,,大町町,1,1,3,,,
,,江北町,,1,3,,,
,,白石町,,1,3,,,
,,太良町,,1,3,,,
長崎県,長崎市,長崎市,,1,3,,,
,その他長崎県,佐世保市,,1,4,,,
,,島原市,,1,3,,,
,,諫早市,,1,3,,,
,,大村市,1,1,3,,,
,,平戸市,,1,3,,,
,,松浦市,,1,3,,,
,,対馬市,,1,3,,,
,,壱岐市,,1,3,,,
,,五島市,,1,3,,,
,,西海市,,1,3,,,
,,雲仙市,,1,3,,,
,,南島原市,,1,4,,,
,,長与町,,1,3,,,
,,時津町,,1,3,,,
,,東彼杵町,,1,4,,,
,,川棚町,,1,3,,,
,,波佐見町,,1,4,,,
,,小値賀町,,1,4,,,
,,佐々町,,1,3,,,
,,新上五島町,,1,5,,,
熊本県,熊本市,熊本市,,1,3,中央区,,
,,,,0,0,東区,,
,,,,0,0,西区,,
,,,,0,0,南区,,
,,,,0,0,北区,,
,その他熊本県,八代市,,1,3,,,
,,人吉市,,1,3,,,
,,荒尾市,,1,3,,,
,,水俣市,,1,3,,,
,,玉名市,,1,3,,,
,,山鹿市,,1,3,,,
,,菊池市,,1,3,,,
,,宇土市,,1,3,,,
,,上天草市,,1,4,,,
,,宇城市,,1,3,,,
,,阿蘇市,,1,3,,,
,,天草市,,1,3,,,
,,合志市,,1,3,,,
,,美里町,,3,3,,,
,,玉東町,,1,3,,,
,,南関町,,1,3,,,
,,長洲町,,1,3,,,
,,和水町,,1,3,,,
,,大津町,,1,3,,,
,,菊陽町,,1,3,,,
,,南小国町,,1,4,,,
,,小国町,,2,3,,,
,,産山村,,1,3,,,
,,高森町,,2,3,,,
,,西原村,,1,3,,,
,,南阿蘇村,,1,4,,,
,,御船町,,1,3,,,
,,嘉島町,,1,3,,,
,,益城町,,1,3,,,
,,甲佐町,,1,3,,,
,,山都町,,1,3,,,
,,氷川町,,1,3,,,
,,芦北町,,1,3,,,
,,津奈木町,,1,4,,,
,,錦町,,1,2,,,
,,多良木町,,1,4,,,
,,湯前町,,1,3,,,
,,水上村,,1,3,,,
,,相良村,,1,3,,,
,,五木村,,1,3,,,
,,山江村,,1,3,,,
,,球磨村,,1,3,,,
,,あさぎり町,,1,5,,,
,,苓北町,,1,3,,,
大分県,大分市,大分市,,1,3,,,
,その他大分県,別府市,,1,3,,,
,,中津市,,1,3,,,
,,日田市,,1,3,,,
,,佐伯市,,1,3,,,
,,臼杵市,,1,3,,,
,,津久見市,,1,4,,,
,,竹田市,,1,3,,,
,,豊後高田市,,1,5,,,
,,杵築市,,1,3,,,
,,宇佐市,,1,3,,,
,,豊後大野市,,1,5,,,
,,由布市,,1,3,,,
,,国東市,,1,3,,,
,,姫島村,,1,3,,,
,,日出町,,1,3,,,
,,九重町,,1,3,,,
,,玖珠町,,1,3,,,
宮崎県,宮崎市,宮崎市,,1,3,,,
